id,index,io,format,calculate,if,for,list,dict,string,stack,queue,enumeration,dp,sort,search,bit
1837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1838,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1839,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1847,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1849,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1850,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1867,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1869,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1873,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1878,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1879,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1887,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1888,12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1889,13,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1890,14,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1891,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1906,16,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1925,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1926,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1928,19,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1931,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1946,21,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1947,22,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1948,23,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1949,24,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1950,25,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1951,26,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1952,27,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1953,28,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1962,29,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1963,30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1964,31,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
1965,32,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
1966,33,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
1967,34,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
1982,35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1983,36,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1984,37,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
1985,38,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1986,39,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1987,40,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1995,41,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1996,42,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1997,43,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1998,44,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1999,45,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2000,46,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015,47,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,48,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2017,49,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2018,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019,51,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
2020,52,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
2029,53,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2030,54,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2031,55,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2032,56,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2033,57,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
2043,58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2044,59,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2045,60,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2046,61,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2052,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,63,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2054,64,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2056,65,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2057,66,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2059,67,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2121,68,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2122,69,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2123,70,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2125,71,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2126,72,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2127,73,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2233,74,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2238,75,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2239,76,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
2240,77,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
2304,78,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2305,79,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2306,80,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2307,81,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2308,82,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0